specie,obj,ability,HP,Atk,Def,SpA,SpD,Spe,nature,iv_HP,iv_Atk,iv_Def,iv_SpA,iv_SpD,iv_Spe,move1,move2,move3,move4,teammate1,teammate2,teammate3,teammate4,teammate5
Indeedee,Focus Sash ,Psychic Surge,0,0,0,252,4,252,Timid,31,0,31,31,31,31,After You,Expanding Force,Imprison,Trick Room,Sandaconda,Barraskewda,Dracozolt,Dracovish,Greedent
Sandaconda,Weakness Policy ,Sand Spit,252,252,0,0,4,0,Adamant,31,31,31,31,31,31,High Horsepower,Iron Head,Rock Slide,Protect,Indeedee,Barraskewda,Dracozolt,Dracovish,Greedent
Barraskewda,Choice Scarf ,Propeller Tail,0,252,0,0,4,252,Jolly,31,31,31,31,31,31,Flip Turn,Psychic Fangs,Liquidation,Ice Fang,Indeedee,Sandaconda,Dracozolt,Dracovish,Greedent
Dracozolt,Life Orb ,Sand Rush,0,252,0,0,4,252,Adamant,31,31,31,31,31,31,Bolt Beak,Dragon Claw,Rock Slide,Aerial Ace,Indeedee,Sandaconda,Barraskewda,Dracovish,Greedent
Dracovish,Choice Band ,Sand Rush,0,252,0,0,4,252,Adamant,31,31,31,31,31,31,Fishious Rend,Psychic Fangs,Rock Slide,Leech Life,Indeedee,Sandaconda,Barraskewda,Dracozolt,Greedent
Greedent,Sitrus Berry ,Cheek Pouch,248,252,4,0,4,0,Brave,31,31,31,31,31,0,Belly Drum,Body Slam,Crunch,Fire Fang,Indeedee,Sandaconda,Barraskewda,Dracozolt,Dracovish
Dragapult,Life Orb ,Infiltrator,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Hydro Pump,Draco Meteor,Thunder,Shadow Ball,Barraskewda,Indeedee-F,Weezing-Galar,Darmanitan-Galar,Duraludon
Barraskewda,Choice Band ,Swift Swim,4,252,0,0,0,252,Adamant,31,31,31,31,31,31,Close Combat,Liquidation,Psychic Fangs,Crunch,Dragapult,Indeedee-F,Weezing-Galar,Darmanitan-Galar,Duraludon
Indeedee-F,Eject Button ,Psychic Surge,252,0,0,4,252,0,Calm,31,0,31,31,31,31,Expanding Force,Follow Me,Protect,Helping Hand,Dragapult,Barraskewda,Weezing-Galar,Darmanitan-Galar,Duraludon
Weezing-Galar,Normal Gem ,Neutralizing Gas,252,252,0,0,4,0,Adamant,31,31,31,31,31,31,Explosion,Protect,Taunt,Rain Dance,Dragapult,Barraskewda,Indeedee-F,Darmanitan-Galar,Duraludon
Darmanitan-Galar,Focus Sash ,Zen Mode,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Fire Punch,Ice Punch,Bulldoze,Rock Slide,Dragapult,Barraskewda,Indeedee-F,Weezing-Galar,Duraludon
Duraludon,Weakness Policy ,Stalwart,0,0,0,252,4,252,Timid,31,0,31,31,31,31,Draco Meteor,Flash Cannon,Dark Pulse,Thunder,Dragapult,Barraskewda,Indeedee-F,Weezing-Galar,Darmanitan-Galar
Rillaboom,Expert Belt ,Grassy Surge,0,252,252,0,4,0,Brave,31,31,31,31,31,0,Grassy Glide,Hammer Arm,High Horsepower,Protect,Duraludon,Hatterene,Copperajah,Dracozolt,Orbeetle
Duraludon,Assault Vest ,Stalwart,0,0,252,252,4,0,Quiet,31,0,31,31,31,0,Draco Meteor,Flash Cannon,Thunderbolt,Dark Pulse,Rillaboom,Hatterene,Copperajah,Dracozolt,Orbeetle
Hatterene,Babiri Berry ,Magic Bounce,252,0,0,252,4,0,Quiet,31,0,31,31,31,0,Trick Room,Dazzling Gleam,Mystical Fire,Psychic,Rillaboom,Duraludon,Copperajah,Dracozolt,Orbeetle
Copperajah,Rocky Helmet ,Heavy Metal,252,252,0,0,4,0,Brave,31,31,31,31,31,0,Heavy Slam,Heat Crash,Protect,Rock Slide,Rillaboom,Duraludon,Hatterene,Dracozolt,Orbeetle
Dracozolt,Room Service ,Volt Absorb,252,252,0,0,4,0,Brave,31,31,31,31,31,0,Bolt Beak,Dragon Claw,Taunt,Protect,Rillaboom,Duraludon,Hatterene,Copperajah,Orbeetle
Orbeetle,Leftovers ,Frisk,252,0,252,0,4,0,Relaxed,31,0,31,31,31,0,Trick Room,Body Press,Protect,Psychic,Rillaboom,Duraludon,Hatterene,Copperajah,Dracozolt
Coalossal-Gmax,Weakness Policy ,Flash Fire,252,0,0,252,4,0,Quiet,31,0,31,31,31,0,Heat Wave,Ancient Power,Protect,Earth Power,Obstagoon,Indeedee-F,Cinderace,Hatterene,Duraludon
Obstagoon,Flame Orb ,Guts,4,252,0,0,0,252,Adamant,31,31,31,31,31,31,Facade,Knock Off,Obstruct,Fire Punch,Coalossal-Gmax,Indeedee-F,Cinderace,Hatterene,Duraludon
Indeedee-F,Focus Sash ,Psychic Surge,252,0,0,252,4,0,Quiet,31,0,31,31,31,0,Follow Me,Expanding Force,Protect,Mystical Fire,Coalossal-Gmax,Obstagoon,Cinderace,Hatterene,Duraludon
Cinderace,Life Orb ,Libero,0,252,0,0,4,252,Jolly,31,31,31,31,31,31,Pyro Ball,Protect,Sucker Punch,Iron Head,Coalossal-Gmax,Obstagoon,Indeedee-F,Hatterene,Duraludon
Hatterene,Babiri Berry ,Magic Bounce,252,0,0,252,4,0,Quiet,31,0,31,31,31,0,Trick Room,Psychic,Dazzling Gleam,Mystical Fire,Coalossal-Gmax,Obstagoon,Indeedee-F,Cinderace,Duraludon
Duraludon,Shuca Berry ,Stalwart,0,0,252,252,4,0,Quiet,31,0,31,31,31,0,Flash Cannon,Draco Meteor,Dark Pulse,Thunderbolt,Coalossal-Gmax,Obstagoon,Indeedee-F,Cinderace,Hatterene
Dracozolt,Life Orb ,Sand Rush,0,252,0,0,4,252,Jolly,31,31,31,31,31,31,Aerial Ace,Bolt Beak,High Horsepower,Stone Edge,Inteleon,Duraludon,Sandaconda,Indeedee-F,Grimmsnarl
Inteleon,Focus Sash ,Torrent,0,0,0,252,4,252,Timid,31,31,31,31,31,31,Soak,Icy Wind,Aqua Jet,Snipe Shot,Dracozolt,Duraludon,Sandaconda,Indeedee-F,Grimmsnarl
Duraludon,Assault Vest ,Stalwart,100,0,76,252,20,60,Modest,31,0,31,31,31,31,Snarl,Thunderbolt,Draco Meteor,Flash Cannon,Dracozolt,Inteleon,Sandaconda,Indeedee-F,Grimmsnarl
Sandaconda,Weakness Policy ,Sand Spit,140,252,0,0,116,0,Adamant,31,31,31,31,31,31,Drill Run,Iron Head,Body Press,Coil,Dracozolt,Inteleon,Duraludon,Indeedee-F,Grimmsnarl
Indeedee-F,Psychic Seed ,Own Tempo,252,0,252,0,4,0,Relaxed,31,0,31,31,31,0,Follow Me,Expanding Force,Mystical Fire,Helping Hand,Dracozolt,Inteleon,Duraludon,Sandaconda,Grimmsnarl
Grimmsnarl,Light Clay ,Prankster,252,0,100,0,156,0,Careful,31,31,31,31,31,31,Light Screen,Reflect,Burning Jealousy,Spirit Break,Dracozolt,Inteleon,Duraludon,Sandaconda,Indeedee-F
Cinderace,Life Orb ,Libero,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Iron Head,Bounce,Sucker Punch,High Jump Kick,Inteleon,Boltund,Indeedee,Darmanitan-Galar,Duraludon
Inteleon,Scope Lens ,Sniper,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Snipe Shot,Air Slash,Dark Pulse,Protect,Cinderace,Boltund,Indeedee,Darmanitan-Galar,Duraludon
Boltund,Focus Sash ,Competitive,4,0,0,252,0,252,Timid,31,31,31,31,31,31,Snarl,Thunderbolt,Nuzzle,Protect,Cinderace,Inteleon,Indeedee,Darmanitan-Galar,Duraludon
Indeedee,Twisted Spoon ,Psychic Surge,60,0,4,180,68,196,Modest,31,0,31,31,31,31,Expanding Force,Imprison,Trick Room,Mystical Fire,Cinderace,Inteleon,Boltund,Darmanitan-Galar,Duraludon
Darmanitan-Galar,Choice Scarf ,Gorilla Tactics,4,252,0,0,0,252,Adamant,31,31,31,31,31,31,Icicle Crash,U-turn,Superpower,Flare Blitz,Cinderace,Inteleon,Boltund,Indeedee,Duraludon
Duraludon,Assault Vest ,Stalwart,156,0,4,212,68,68,Modest,31,0,31,31,31,31,Flash Cannon,Draco Meteor,Thunderbolt,Dark Pulse,Cinderace,Inteleon,Boltund,Indeedee,Darmanitan-Galar
Corviknight,Leftovers ,Mirror Armor,252,0,252,0,4,0,Impish,31,31,31,31,31,31,Brave Bird,Body Press,Iron Defense,Roost,Dracovish,Runerigus,Duraludon,Grimmsnarl,Inteleon
Dracovish,Choice Band ,Water Absorb,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Fishious Rend,Rock Slide,Crunch,Leech Life,Corviknight,Runerigus,Duraludon,Grimmsnarl,Inteleon
Runerigus,Weakness Policy ,Wandering Spirit,252,4,0,0,252,0,Sassy,31,31,31,31,31,0,Trick Room,Body Press,Poltergeist,Earthquake,Corviknight,Dracovish,Duraludon,Grimmsnarl,Inteleon
Duraludon,Life Orb ,Stalwart,252,0,0,252,0,4,Modest,31,0,31,31,31,31,Flash Cannon,Draco Meteor,Dark Pulse,Protect,Corviknight,Dracovish,Runerigus,Grimmsnarl,Inteleon
Grimmsnarl,Light Clay ,Prankster,0,4,252,0,252,0,Impish,31,31,31,31,31,31,Spirit Break,Sucker Punch,Reflect,Light Screen,Corviknight,Dracovish,Runerigus,Duraludon,Inteleon
Inteleon,Scope Lens ,Sniper,4,0,92,156,4,252,Timid,31,0,31,31,31,31,Snipe Shot,Air Slash,Ice Beam,Protect,Corviknight,Dracovish,Runerigus,Duraludon,Grimmsnarl
Indeedee,Focus Sash ,Psychic Surge,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Expanding Force,Trick Room,Imprison,Mystical Fire,Cinderace,Boltund,Duraludon,Grimmsnarl,Corviknight
Cinderace,Life Orb ,Libero,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Pyro Ball,Sucker Punch,Bounce,Protect,Indeedee,Boltund,Duraludon,Grimmsnarl,Corviknight
Boltund,Psychic Seed ,Competitive,252,0,0,4,0,252,Timid,31,31,31,31,31,31,Nuzzle,Snarl,Charm,Thunderbolt,Indeedee,Cinderace,Duraludon,Grimmsnarl,Corviknight
Duraludon,Assault Vest ,Stalwart,116,0,4,252,100,36,Modest,31,0,31,31,31,31,Flash Cannon,Draco Meteor,Thunderbolt,Snarl,Indeedee,Cinderace,Boltund,Grimmsnarl,Corviknight
Grimmsnarl,Light Clay ,Prankster,252,4,140,0,100,12,Careful,31,31,31,31,31,31,Fake Out,Reflect,Light Screen,Spirit Break,Indeedee,Cinderace,Boltund,Duraludon,Corviknight
Corviknight,Occa Berry ,Mirror Armor,252,0,146,0,100,12,Impish,31,0,31,31,31,31,Body Press,Iron Defense,Tailwind,Roost,Indeedee,Cinderace,Boltund,Duraludon,Grimmsnarl
Dragapult,Focus Sash ,Infiltrator,4,252,0,0,0,252,,31,31,31,31,31,31,Baton Pass,Dragon Dance,Dragon Darts,Phantom Force,Orbeetle,Sandaconda,Grimmsnarl,Indeedee-F,Perrserker
Orbeetle,Figy Berry ,Telepathy,252,0,132,0,124,0,Bold,31,0,31,31,31,31,Expanding Force,Light Screen,Recover,Trick Room,Dragapult,Sandaconda,Grimmsnarl,Indeedee-F,Perrserker
Sandaconda,Leftovers ,Sand Spit,252,0,124,0,132,0,Careful,31,31,31,31,31,31,Coil,High Horsepower,Glare,Iron Head,Dragapult,Orbeetle,Grimmsnarl,Indeedee-F,Perrserker
Grimmsnarl,Light Clay ,Prankster,252,0,132,0,124,0,Impish,31,31,31,31,31,31,Foul Play,Light Screen,Reflect,Spirit Break,Dragapult,Orbeetle,Sandaconda,Indeedee-F,Perrserker
Indeedee-F,Sitrus Berry ,Psychic Surge,252,0,132,0,124,0,Bold,31,0,31,31,31,31,Expanding Force,Light Screen,Heal Pulse,Follow Me,Dragapult,Orbeetle,Sandaconda,Grimmsnarl,Perrserker
Perrserker,Assault Vest ,Tough Claws,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Close Combat,Iron Head,Play Rough,Seed Bomb,Dragapult,Orbeetle,Sandaconda,Grimmsnarl,Indeedee-F
Pincurchin,Expert Belt ,Electric Surge,212,60,0,236,0,0,Brave,31,31,31,31,31,0,Rising Voltage,Scald,Poison Jab,Rain Dance,Corsola-Galar,Grapploct,Barraskewda,Morpeko,Drednaw
Corsola-Galar,Eviolite ,Cursed Body,124,0,244,0,140,0,Sassy,31,0,31,31,31,0,Will-O-Wisp,Hex,Reflect,Light Screen,Pincurchin,Grapploct,Barraskewda,Morpeko,Drednaw
Grapploct,Choice Band ,Limber,252,252,0,0,4,0,Brave,31,31,31,31,31,0,Close Combat,Liquidation,Ice Punch,Stomping Tantrum,Pincurchin,Corsola-Galar,Barraskewda,Morpeko,Drednaw
Barraskewda,Focus Sash ,Propeller Tail,4,252,0,0,4,248,Jolly,31,31,31,31,31,0,Crunch,Brick Break,Poison Jab,Liquidation,Pincurchin,Corsola-Galar,Grapploct,Morpeko,Drednaw
Morpeko,Life Orb ,Hunger Switch,0,252,0,0,4,252,Jolly,31,31,31,31,31,31,Aura Wheel,Brick Break,Fake Out,Protect,Pincurchin,Corsola-Galar,Grapploct,Barraskewda,Drednaw
Drednaw,Assault Vest ,Swift Swim,0,252,0,0,4,252,Adamant,31,31,31,31,31,31,Head Smash,High Horsepower,Liquidation,Superpower,Pincurchin,Corsola-Galar,Grapploct,Barraskewda,Morpeko
Rillaboom,Miracle Seed ,Grassy Surge,252,252,0,0,4,0,Adamant,31,31,31,31,31,31,Wood Hammer,Grassy Glide,Grass Pledge,Protect,Cinderace,Inteleon,Corviknight,Boltund,Grimmsnarl
Cinderace,Life Orb ,Libero,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Pyro Ball,High Jump Kick,Bounce,Iron Head,Rillaboom,Inteleon,Corviknight,Boltund,Grimmsnarl
Inteleon,Choice Scarf ,Torrent,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Snipe Shot,Water Pledge,Icy Wind,Soak,Rillaboom,Cinderace,Corviknight,Boltund,Grimmsnarl
Corviknight,Lum Berry ,Mirror Armor,252,4,76,0,132,44,Impish,31,31,31,31,31,31,Brave Bird,Iron Head,Bulk Up,Roost,Rillaboom,Cinderace,Inteleon,Boltund,Grimmsnarl
Boltund,Focus Sash ,Competitive,4,0,0,252,0,252,Timid,31,31,31,31,31,31,Thunderbolt,Snarl,Nuzzle,Protect,Rillaboom,Cinderace,Inteleon,Corviknight,Grimmsnarl
Grimmsnarl,Light Clay ,Prankster,252,0,156,0,100,0,Impish,31,31,31,31,31,31,Sucker Punch,Spirit Break,Reflect,Light Screen,Rillaboom,Cinderace,Inteleon,Corviknight,Boltund
Indeedee,Focus Sash ,Psychic Surge,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Trick Room,Imprison,Expanding Force,Mystical Fire,Dragapult,Dubwool,Sandaconda,Mr. Mime-Galar,Barraskewda
Dragapult,Weakness Policy ,Clear Body,252,4,252,0,0,0,Impish,31,31,31,0,31,31,Dragon Darts,Acrobatics,Protect,Phantom Force,Indeedee,Dubwool,Sandaconda,Mr. Mime-Galar,Barraskewda
Dubwool,Maranga Berry ,Bulletproof,180,0,80,0,116,132,Impish,31,0,31,0,31,31,Cotton Guard,Baton Pass,Body Press,Protect,Indeedee,Dragapult,Sandaconda,Mr. Mime-Galar,Barraskewda
Sandaconda,Assault Vest ,Sand Spit,252,100,0,0,156,0,Careful,31,31,31,0,31,31,Iron Head,High Horsepower,Rock Slide,Skitter Smack,Indeedee,Dragapult,Dubwool,Mr. Mime-Galar,Barraskewda
Mr. Mime-Galar,Eviolite ,Screen Cleaner,76,0,196,68,156,12,Modest,31,0,31,31,31,31,Freeze-Dry,Expanding Force,Trick Room,Dazzling Gleam,Indeedee,Dragapult,Dubwool,Sandaconda,Barraskewda
Barraskewda,Life Orb ,Propeller Tail,132,252,0,0,0,124,Jolly,31,31,31,0,31,31,Liquidation,Poison Jab,Throat Chop,Protect,Indeedee,Dragapult,Dubwool,Sandaconda,Mr. Mime-Galar
Inteleon,Scope Lens ,Sniper,4,0,0,252,0,252,Timid,31,0,31,31,31,31,Snipe Shot,Hydro Cannon,Air Slash,Focus Energy,Indeedee-F,Darmanitan-Galar,Grimmsnarl,Duraludon,Cinderace
Indeedee-F,Psychic Seed ,Psychic Surge,252,0,156,0,100,0,Relaxed,31,0,31,31,31,0,Expanding Force,Follow Me,Helping Hand,Protect,Inteleon,Darmanitan-Galar,Grimmsnarl,Duraludon,Cinderace
Darmanitan-Galar,Choice Scarf ,Gorilla Tactics,36,252,0,0,0,220,Adamant,31,31,31,31,31,31,Icicle Crash,Superpower,Rock Slide,U-turn,Inteleon,Indeedee-F,Grimmsnarl,Duraludon,Cinderace
Grimmsnarl,Light Clay ,Prankster,252,0,100,0,156,0,Impish,31,31,31,31,31,31,Spirit Break,Light Screen,Reflect,Thunder Wave,Inteleon,Indeedee-F,Darmanitan-Galar,Duraludon,Cinderace
Duraludon,Assault Vest ,Stalwart,4,0,252,252,0,0,Modest,31,0,31,31,31,31,Draco Meteor,Thunderbolt,Flash Cannon,Body Press,Inteleon,Indeedee-F,Darmanitan-Galar,Grimmsnarl,Cinderace
Cinderace,Life Orb ,Libero,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,Pyro Ball,Bounce,Sucker Punch,High Jump Kick,Inteleon,Indeedee-F,Darmanitan-Galar,Grimmsnarl,Duraludon
Grimmsnarl-Gmax,Light Clay ,Prankster,164,4,132,0,196,12,Careful,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Taunt,Boltund,Corviknight,Darmanitan-Galar,Cinderace,Indeedee
Boltund,Focus Sash ,Competitive,244,0,0,12,0,252,Timid,31,0,31,31,31,31,Volt Switch,Snarl,Charm,Nuzzle,Grimmsnarl-Gmax,Corviknight,Darmanitan-Galar,Cinderace,Indeedee
Corviknight,Weakness Policy ,Mirror Armor,140,92,4,0,92,180,Adamant,31,31,31,31,31,31,Brave Bird,Iron Head,Bulk Up,Roost,Grimmsnarl-Gmax,Boltund,Darmanitan-Galar,Cinderace,Indeedee
Darmanitan-Galar,Choice Scarf ,Gorilla Tactics,84,164,4,0,4,252,Adamant,31,31,31,31,31,31,Icicle Crash,Superpower,Rock Slide,U-turn,Grimmsnarl-Gmax,Boltund,Corviknight,Cinderace,Indeedee
Cinderace,Life Orb ,Libero,28,220,4,0,4,252,Jolly,31,31,31,31,31,31,Pyro Ball,Bounce,Sucker Punch,High Jump Kick,Grimmsnarl-Gmax,Boltund,Corviknight,Darmanitan-Galar,Indeedee
Indeedee,Tanga Berry ,Psychic Surge,188,0,124,92,4,100,Bold,31,0,31,31,31,31,Expanding Force,Dazzling Gleam,Imprison,Trick Room,Grimmsnarl-Gmax,Boltund,Corviknight,Darmanitan-Galar,Cinderace
Cramorant,Life Orb ,Gulp Missile,4,0,0,252,0,252,Timid,31,31,31,31,31,31,Ice Beam,Air Slash,Surf,Dive,Arctovish,Sirfetch’d,Duraludon,Sandaconda,Orbeetle
Arctovish,Assault Vest ,Water Absorb,4,252,252,0,0,0,Impish,31,31,31,31,31,31,Fishious Rend,Icicle Crash,Psychic Fangs,Crunch,Cramorant,Sirfetch’d,Duraludon,Sandaconda,Orbeetle
Sirfetch’d,Payapa Berry ,Steadfast,4,252,0,0,0,252,Adamant,31,31,31,31,31,31,Detect,Close Combat,Knock Off,Leaf Blade,Cramorant,Arctovish,Duraludon,Sandaconda,Orbeetle
Duraludon,Choice Specs ,Stalwart,4,0,0,252,0,252,Modest,31,0,31,31,31,31,Flash Cannon,Draco Meteor,Dark Pulse,Thunderbolt,Cramorant,Arctovish,Sirfetch’d,Sandaconda,Orbeetle
Sandaconda,Weakness Policy ,Shed Skin,0,252,0,0,252,4,Adamant,31,31,31,31,31,31,Glare,High Horsepower,Rock Slide,Iron Head,Cramorant,Arctovish,Sirfetch’d,Duraludon,Orbeetle
Orbeetle,Light Clay ,Telepathy,252,0,4,0,0,252,Timid,31,0,31,31,31,31,Reflect,Light Screen,Psychic Terrain,Bug Buzz,Cramorant,Arctovish,Sirfetch’d,Duraludon,Sandaconda
Duraludon,Assault Vest ,Stalwart,124,0,4,236,12,132,Modest,31,10,31,31,31,31,Flash Cannon,Draco Meteor,Thunderbolt,Snarl,Inteleon,Grimmsnarl,Cinderace,Indeedee,Corviknight
Inteleon,Scope Lens ,Sniper,0,0,0,252,4,252,Timid,31,0,31,31,31,31,Snipe Shot,Icy Wind,Protect,Light Screen,Duraludon,Grimmsnarl,Cinderace,Indeedee,Corviknight
Grimmsnarl,Light Clay ,Prankster,236,4,164,0,92,12,Careful,31,31,31,31,31,31,Thunder Wave,Light Screen,Reflect,Darkest Lariat,Duraludon,Inteleon,Cinderace,Indeedee,Corviknight
Cinderace,Life Orb ,Libero,4,252,0,0,0,252,Jolly,31,31,31,31,31,31,High Jump Kick,Sucker Punch,Bounce,Pyro Ball,Duraludon,Inteleon,Grimmsnarl,Indeedee,Corviknight
Indeedee,Focus Sash ,Psychic Surge,0,0,4,252,0,252,Timid,31,0,31,31,31,31,Expanding Force,Trick Room,Imprison,Protect,Duraludon,Inteleon,Grimmsnarl,Cinderace,Corviknight
Corviknight,Occa Berry ,Mirror Armor,252,0,92,4,92,68,Bold,31,0,31,31,31,31,Body Press,Iron Defense,Tailwind,Roost,Duraludon,Inteleon,Grimmsnarl,Cinderace,Indeedee
Indeedee-F,Sitrus Berry ,Psychic Surge,252,0,252,0,4,0,Relaxed,31,0,31,31,31,31,Expanding Force,Follow Me,Helping Hand,Protect,Hatterene,Coalossal,Corviknight,Sirfetch’d,Rillaboom
Hatterene,Life Orb ,Magic Bounce,252,0,4,252,0,0,Quiet,31,0,31,31,31,0,Expanding Force,Dazzling Gleam,Trick Room,Protect,Indeedee-F,Coalossal,Corviknight,Sirfetch’d,Rillaboom
Coalossal,Shuca Berry ,Flame Body,252,252,0,0,4,0,Brave,31,31,31,31,31,0,Rock Slide,Flare Blitz,High Horsepower,Protect,Indeedee-F,Hatterene,Corviknight,Sirfetch’d,Rillaboom
Corviknight,Figy Berry ,Mirror Armor,252,0,4,0,252,0,Careful,31,31,31,31,31,31,Brave Bird,Body Press,Iron Head,Tailwind,Indeedee-F,Hatterene,Coalossal,Sirfetch’d,Rillaboom
Sirfetch’d,Leek ,Scrappy,252,252,4,0,0,0,Adamant,31,31,31,31,31,31,Close Combat,Brave Bird,Knock Off,Protect,Indeedee-F,Hatterene,Coalossal,Corviknight,Rillaboom
Rillaboom,Aguav Berry ,Grassy Surge,252,252,0,0,4,0,Adamant,31,31,31,31,31,31,Grassy Glide,Knock Off,High Horsepower,Protect,Indeedee-F,Hatterene,Coalossal,Corviknight,Sirfetch’d
Dragapult,Focus Sash ,Infiltrator,0,252,0,0,4,252,Jolly,31,31,31,31,31,31,Protect,Will-O-Wisp,Dragon Claw,Phantom Force,Obstagoon,Indeedee-F,Duraludon,Cinderace,Inteleon
Obstagoon,Leftovers ,Guts,4,252,0,0,0,252,Adamant,31,31,31,31,31,31,Facade,Brick Break,Obstruct,Shadow Claw,Dragapult,Indeedee-F,Duraludon,Cinderace,Inteleon
